index,hgrnaNum,runtime,kc1,kc0,rf,row_num
47,50,2495.8154561519623,2566.4700924964013,4377.217513415703,2065.8,267
48,25,512.7560164928436,1663.4974070184871,2870.1480077180186,2215.8,268
48,50,1304.8775172233582,1943.3473513782988,4262.88381735348,2144.2,268
49,25,12946.235449075699,2491.568452973401,7274.16579571109,2554.4,269
49,50,13851.936794519424,3130.9994279937896,7072.394856165346,2268.2,269
50,25,13152.247721910477,2587.8207512090776,5502.2075612465,2490.4,270
51,25,590.3698365688324,1999.649155404905,4038.564241646662,2366,271
51,50,15392.375005722046,2241.887815556124,4149.202783219748,2173.8,271
52,25,466.31813406944275,2076.963442634951,3440.343468653634,2556,382
52,50,1665.9935574531555,3133.373132424005,6554.255252806136,2250.2,382
53,25,668.6738545894623,2417.9393483678678,3967.946590053443,2428.6,383
53,50,13595.104305744171,2789.016992486363,5339.748892700356,2321.8,383
54,25,810.5336782932281,2203.7760109250753,3208.591815020363,2467.8,384
54,50,2135.4810376167297,2814.8683535256073,4280.142962325267,2365.8,384
55,25,11901.367274045944,2527.043128498259,5873.76870475566,2449.8,385
56,25,794.0310349464417,2743.889339100756,4833.209632357997,2526,386
56,50,12570.85091495514,3107.0093758764906,6496.291574471376,2432.6,386
57,50,16969.35669875145,2524.9320230820663,4491.21774744814,2285.8,387
57,25,635.932868719101,2203.4612178526595,3278.798114423016,2451.2,387
58,25,724.1117849349976,2735.8089273158153,4548.844572476007,2463,388
58,50,25807.621367692947,2962.8524253935784,5100.401601379604,2399.6,388
59,25,7081.8557732105255,2423.3284928425396,4806.214794825767,2423.8,389
60,25,10234.039969205856,2625.080203555635,4186.760767155301,2441,390
61,25,9842.136555194855,2159.8802883838734,3473.7701203396396,2286.2,391
62,25,739.95973944664,2772.7915019781954,4185.174419573555,2459.4,392
62,50,21262.446887016296,2702.0324605883297,4585.914128638665,2435.6,392
63,50,2119.393746614456,2486.6759509734698,3694.167546303589,2121.6,393
63,25,585.2919843196869,2567.0664465669674,3596.651437191434,2348.4,393
64,50,2658.0204865932465,3063.4684733373883,4758.435276412014,2248.4,394
64,25,292.6948387622833,3042.1685338572674,5210.018243470969,2469.4,394
65,50,24798.172342538834,2719.3092748811523,4863.511548051557,2325,395
65,25,241.57146310806274,2540.080222819409,4061.1004122149275,2353.2,395
66,25,247.93115901947021,2276.1536122494695,3534.114156742955,2424.4,396
66,50,2405.51251411438,2874.768983306724,5247.806104551835,2303,396
67,50,11394.294529914856,3084.470115737492,5435.411884121279,2266.6,397
67,25,427.6886966228485,2241.964677698564,3176.1446349423127,2298.4,397
68,25,158.39363288879395,2432.463899382758,4076.0834455901686,2416.2,398
68,50,14851.299927711487,2944.2244787568,5989.999467926871,2184.6,398
